URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/FHIR-version,4.0.1,active,"2.16.840.1.113883.4.642.4.1310",FHIRVersion,FHIRVersion,"All published FHIR Versions.","ValueSet/EndpointConnectionTypeVersionVS"
http://hl7.org/fhir/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/BundleTypeVS"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/days-of-week"
http://hl7.org/fhir/device-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.210",FHIRDeviceStatus,FHIRDeviceStatus,"The availability status of the device.","ValueSet/device-status"
http://hl7.org/fhir/sid/ndc,2.0.1,active,"2.16.840.1.113883.6.69",Ndc,National drug codes,"National drug codes","ValueSet/FDANationalDrugCode"
http://hl7.org/fhir/us/core/CodeSystem/us-core-provenance-participant-type,3.1.1,active,,USCoreProvenancePaticipantTypeExtensionCodes,US Core Provenance Participant Type Extension Codes,"Set of codes that are needed for implementation of the US-Core profiles. These codes are used as extensions to the FHIR and US Core value sets. ","ValueSet/ProvenanceAgentType,ValueSet/us-core-provenance-participant-type"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/CredentialStatusCS,2.0.0,draft,,CredentialStatusCS,Credential Status Code System,"This code system contains codes for indicating the status of a credential, such as an identifier or qualification.","ValueSet/IdentifierStatusVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/EndpointAccessControlMechanismCS,2.0.0,draft,,EndpointAccessControlMechanismCS,Endpoint Access Control Mechanism Code System,"Endpoint Access Control Mechanism","ValueSet/EndpointAccessControlMechanismVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/EndpointConnectionTypeCS,2.0.0,draft,,EndpointConnectionTypeCS,Endpoint Connection Types (additional) Code System,"Extension codes for http://terminology.hl7.org/CodeSystem/endpoint-connection-type","ValueSet/EndpointConnectionTypeVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/EndpointConnectionTypeVersionCS,2.0.0,draft,,EndpointConnectionTypeVersionCS,Endpoint Connection Type Version Code System,"Endpoint Connection Type Version","ValueSet/EndpointConnectionTypeVersionVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/EndpointHieSpecificConnectionTypeCS,2.0.0,draft,,EndpointHieSpecificConnectionTypeCS,Endpoint HIE Specific Connection Type Code System,"Endpoint HIE Specific Connection Type","ValueSet/EndpointConnectionTypeVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/EndpointPayloadTypeCS,2.0.0,draft,,EndpointPayloadTypeCS,Endpoint Payload Types Code System,"Endpoint Payload Types are constrained to NA (Not Applicable) as part of this IG","ValueSet/EndpointPayloadTypeVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/MtlsObjectCodeCS,2.0.0,draft,,MtlsObjectCodeCS,mTLS Object Type Code,"Codes for the Signed Object Types","ValueSet/MtlsObjectType"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/NdhAssociatedServersTypeCS,2.0.0,draft,,NdhAssociatedServersTypeCS,NDH Associated Servers Type Code System,"NDH Associated Servers Type","ValueSet/NdhAssociatedServersTypeVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/NdhFhirEndpointUseCaseCS,2.0.0,draft,,NdhFhirEndpointUseCaseCS,NDH FHIR Endpoint Use Case Code System,"NDH FHIR Endpoint Use Case","ValueSet/NdhFhirEndpointUseCaseVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/NdhSecureExchangeArtifactsCS,2.0.0,draft,,NdhSecureExchangeArtifactsCS,NDH Secure Exchange Artifacts Code System,"NDH Secure Exchange Artifacts","ValueSet/NdhSecureExchangeArtifactsVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/NdhVerificationStatusCS,2.0.0,draft,,NdhVerificationStatusCS,NDH Resource Instance Verification Status Code System,"NDH Resource Instance Verification Status","ValueSet/NdhVerificationStatusVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/OrgTypeCS,2.0.0,draft,,OrgTypeCS,Organization Type,"Categories of organizations based on criteria in provider directories.","ValueSet/OrgTypeVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/PDexAdjudicationCS,2.0.0,draft,,PDexAdjudicationCS,PDex Adjudication Codes,"Describes the various amount fields used when payers receive and adjudicate a claim.  It complements the values defined in http://terminology.hl7.org/CodeSystem/adjudication.","ValueSet/PDexAdjudication,ValueSet/PDexAdjudicationCategoryDiscriminator"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/PDexPayerAdjudicationStatus,2.0.0,draft,,PDexPayerAdjudicationStatus,PDex Payer Adjudication Status,"Describes the various status fields used when payers adjudicate a claim, such as whether the claim was adjudicated in or out of network, if the provider was contracted or non-contracted for the service","ValueSet/PDexPayerBenefitPaymentStatus"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/PDexSupportingInfoType,2.0.0,draft,,PDexSupportingInfoType,PDex Supporting Info Type,"Claim Information Category - Used as the discriminator for supportingInfo","ValueSet/PDexSupportingInfoType"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/PdexProviderExportModeCS,2.0.0,draft,,PdexProviderExportModeCS,PDex Provider Export Mode,"Data Export Mode Types for Provider Export Operation.","ValueSet/PDexProviderExportModeVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/PriorAuthorizationValueCodes,2.0.0,draft,,PriorAuthorizationValueCodes,Prior Authorization Values,"Codes used to define Prior Authorization categories","ValueSet/PriorAuthorizationAmounts"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/ProvenanceAgentRoleType,2.0.0,draft,,ProvenanceAgentRoleType,Provenance Roles,"CodeSystem for types of role relating to the creation or communication of referenced resources","ValueSet/ProvenanceAgentType"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/ProvenancePayerDataSource,2.0.0,draft,,ProvenancePayerDataSource,Provenance Payer Data Source Format,"CodeSystem for source formats that identify what non-FHIR source was used to create FHIR record(s)","ValueSet/ProvenancePayerSourceFormat"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/TrustFrameworkTypeCS,2.0.0,draft,,TrustFrameworkTypeCS,Trust FrameworkType Code System,"Trust Framework Type","ValueSet/TrustFrameworkTypeVS"
http://hl7.org/fhir/us/davinci-pdex/CodeSystem/TrustProfileCS,2.0.0,draft,,TrustProfileCS,Trust Profile Code System,"Trust Profile","ValueSet/TrustProfileVS"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/device-kind"
http://terminology.hl7.org/CodeSystem/adjudication,0.1.0,draft,"2.16.840.1.113883.4.642.1.1171",AdjudicationValueCodes,Adjudication Value Codes,"This value set includes a smattering of Adjudication Value codes which includes codes to indicate the amounts eligible under the plan, the amount of benefit, copays etc.","ValueSet/PDexAdjudication"
http://terminology.hl7.org/CodeSystem/data-absent-reason,0.1.0,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/PDexPAInstitutionalProcedureCodesVS,ValueSet/PDexPAInstitutionalProcedureCodes"
http://terminology.hl7.org/CodeSystem/endpoint-connection-type,1.0.0,draft,"2.16.840.1.113883.4.642.1.1140",EndpointConnectionType,Endpoint Connection Type,"This is an example value set defined by the FHIR project, that could be used to represent possible connection type profile values.","ValueSet/EndpointConnectionTypeVS"
http://terminology.hl7.org/CodeSystem/medicationdispense-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.1313",MedicationDispense Status Codes,Medication dispense  status  codes,"MedicationDispense Status Codes","ValueSet/medicationdispense-status"
http://terminology.hl7.org/CodeSystem/processpriority,0.1.0,draft,"2.16.840.1.113883.4.642.1.1155",ProcessPriorityCodes,Process Priority Codes,"This value set includes the financial processing priority codes.","ValueSet/process-priority"
http://terminology.hl7.org/CodeSystem/provenance-participant-type,0.1.0,draft,"2.16.840.1.113883.4.642.1.1131",ProvenanceParticipantType,Provenance participant type,"The type of participation a provenance participant.","ValueSet/ProvenanceAgentType,ValueSet/us-core-provenance-participant-type"
http://terminology.hl7.org/CodeSystem/v3-ActCode,8.0.1,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/v3-ActPharmacySupplyType"
http://terminology.hl7.org/fhir/CodeSystem/medicationdispense-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.1315",MedicationDispense Category Codes,Medication dispense  category  codes,"MedicationDispense Category Codes","ValueSet/medicationdispense-category"
http://www.ama-assn.org/go/cpt,3.0.1,active,"2.16.840.1.113883.6.12",CPT,Current Procedural Terminology (CPT®),"The Current Procedural Terminology (CPT) code set, created and maintained by the American Medical Association, is the language of medicine today and the code to its future. This system of terminology is the most widely accepted medical nomenclature used to report medical procedures and services under public and private health insurance programs. CPT coding is also used for administrative management purposes such as claims processing and developing guidelines for medical care review. Each year, via a rigorous, evidence-based and transparent process, the independent CPT Editorial Panel revises, creates or deletes hundreds of codes in order to reflect current medical practice.    Designated by the U.S. Department of Health and Human Services under the Health Insurance Portability and Accountability Act (HIPAA) as a national coding set for physician and other health care professional services and procedures, CPT’s evidence-based codes accurately encompass the full range of health care services.    All CPT codes are five-digits and can be either numeric or alphanumeric, depending on the category. CPT code descriptors are clinically focused and utilize common standards so that a diverse set of users can have common understanding across the clinical health care paradigm.    There are various types of CPT codes:    Category I: These codes have descriptors that correspond to a procedure or service. Codes range from 00100–99499 and are generally ordered into sub-categories based on procedure/service type and anatomy.    Category II: These alphanumeric tracking codes are supplemental codes used for performance measurement. Using them is optional and not required for correct coding.    Category III: These are temporary alphanumeric codes for new and developing technology, procedures and services. They were created for data collection, assessment and in some instances, payment of new services and procedures that currently don’t meet the criteria for a Category I code.    Proprietary Laboratory Analyses (PLA) codes: These codes describe proprietary clinical laboratory analyses and can be either provided by a single (“solesource”) laboratory or licensed or marketed to multiple providing laboratories that are cleared or approved by the Food and Drug Administration (FDA)). This category includes but is not limited to Advanced Diagnostic Laboratory Tests (ADLTs) and Clinical Diagnostic Laboratory Tests (CDLTs), as defined under the Protecting Access to Medicare Act of 2014 (PAMA).","ValueSet/PDexPAInstitutionalProcedureCodesVS,ValueSet/PDexPAInstitutionalProcedureCodes"
